Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,
BIIB,BIOGEN IDEC Inc.,reports,Health Care,Biotechnology,Weston, Massachusetts,,0000875045,/wiki/BIOGEN_IDEC_Inc.
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks,New York, New York,2011-04-04,0001364742,/wiki/BlackRock
HRB,Block H&R,reports,Financials,Consumer Finance,Kansas City, Missouri,1986-11-30,0000012659,/wiki/Block_H%26R
BA,Boeing Company,reports,Industrials,Aerospace & Defense,Chicago, Illinois,,0000012927,/wiki/Boeing_Company
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment,Auburn Hills, Michigan,2011-12-19,0000908255,/wiki/BorgWarner
BXP,Boston Properties,reports,Financials,REITs,Boston, Massachusetts,,0001037540,/wiki/Boston_Properties
BSX,Boston Scientific,reports,Health Care,Health Care Equipment & Services,Marlborough, Massachusetts[4],,0000885725,/wiki/Boston_Scientific
BMY,Bristol-Myers Squibb,reports,Health Care,Health Care Distributors & Services,New York, New York,,0000014272,/wiki/Bristol-Myers_Squibb
BF-B,Brown-Forman Corporation,reports,Consumer Staples,Distillers & Vintners,Louisville, Kentucky,1982-10-31,0000014693,/wiki/Brown-Forman_Corporation
CHRW,C. H. Robinson Worldwide,reports,Industrials,Air Freight & Logistics,Eden Prairie, Minnesota,,0001043277,/wiki/C._H._Robinson_Worldwide
CA,CA, Inc.,reports,Information Technology,Systems Software,Islandia, New York,1987-07-31,0000356028,/wiki/CA,_Inc.
CVC,Cablevision Systems Corp.,reports,Consumer Discretionary,Broadcasting & Cable TV,Bethpage, New York,2010-12-20,0001053112,/wiki/Cablevision
COG,Cabot Oil & Gas,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,2008-06-23,0000858470,/wiki/Cabot_Oil_%26_Gas
CPB,Campbell Soup,reports,Consumer Staples,Packaged Foods & Meats,Camden, New Jersey,,0000016732,/wiki/Campbell_Soup
COF,Capital One Financial,reports,Financials,Consumer Finance,Tysons Corner, Virginia,,0000927628,/wiki/Capital_One_Financial
CAH,Cardinal Health Inc.,reports,Health Care,Health Care Distributors & Services,Dublin, Ohio,,0000721371,/wiki/Cardinal_Health_Inc.
HSIC,Henry Schein,reports,Health Care,Health Care Distributors & Services,Melville, New York,2015-03-17,0001000228,/wiki/Henry_Schein
KMX,Carmax Inc,reports,Consumer Discretionary,Specialty Stores,Richmond, Virginia,2010-06-28,0001170010,/wiki/Carmax_Inc
CCL,Carnival Corp.,reports,Consumer Discretionary,Hotels, Resorts & Cruise Lines,Miami, Florida,,0000815097,/wiki/Carnival_Corp.
CAT,Caterpillar Inc.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,Peoria, Illinois,,0000018230,/wiki/Caterpillar_Inc.
